"Story","Title","Result","Date","Stability","Duration (s)"
"Categories Functionality","Verify user should able to access categories information","SUCCESS","2022-01-25T22:28:47.329Z[Europe/London]","0.0","9.21"
"Categories Functionality","Create new category and verify if the category is added","SUCCESS","2022-01-25T22:28:59.938Z[Europe/London]","0.0","1.94"
"Categories Functionality","Update the category information and verify if category is updated","SUCCESS","2022-01-25T22:29:02.138Z[Europe/London]","0.0","0.32"
"Categories Functionality","I delete the store and verify category is deleted successfully","SUCCESS","2022-01-25T22:29:02.691Z[Europe/London]","0.0","15.96"
"Products Functionality","Verify user should be able to access Products on Best Buy application","SUCCESS","2022-01-25T22:29:18.856Z[Europe/London]","0.0","41.63"
"Products Functionality","Create a new Product & verify if the product is added","SUCCESS","2022-01-25T22:30:00.886Z[Europe/London]","0.0","0.49"
"Products Functionality","Updating the product created and verify it is updated with status 200","SUCCESS","2022-01-25T22:30:01.685Z[Europe/London]","0.0","0.39"
"Products Functionality","Verify user should able to delete the product","SUCCESS","2022-01-25T22:30:02.533Z[Europe/London]","0.0","0.33"
"Services Functionality","Verify user should able to access stores information","SUCCESS","2022-01-25T22:30:03.591Z[Europe/London]","0.0","0.1"
"Services Functionality","Create a new Service and verify if the Service is added","SUCCESS","2022-01-25T22:30:04.484Z[Europe/London]","0.0","0.37"
"Services Functionality","Update the Service information and verify if Service is updated","SUCCESS","2022-01-25T22:30:05.553Z[Europe/London]","0.0","0.34"
"Services Functionality","I delete the Service and verify Service is deleted successfully","SUCCESS","2022-01-25T22:30:06.181Z[Europe/London]","0.0","0.65"
"Stores Functionality","Verify user should able to access stores information","SUCCESS","2022-01-25T22:30:07.052Z[Europe/London]","0.0","0.37"
"Stores Functionality","Create a new store and verify if the store is added","SUCCESS","2022-01-25T22:30:08.123Z[Europe/London]","0.0","0.33"
"Stores Functionality","Update the store information and verify if store is updated","SUCCESS","2022-01-25T22:30:08.880Z[Europe/London]","0.0","0.34"
"Stores Functionality","I delete the store and verify store is deleted successfully","SUCCESS","2022-01-25T22:30:10.117Z[Europe/London]","0.0","0.25"
